;Config settings
"MageMonkey - MailChimp integration by ebizmarts", "MageMonkey - MailChimp integratie door ebizmarts"
"Get a free MailChimp account now","Verkrijg nu een gratis MailChimp account"
"<a href=\"http://mailchimp.com/signup/?pid=ebizmart&source=website\" target=\"_blank\">Verkrijg nu een gratis MailChimp account</a>",""
"Enabled","Ingeschakeld"
"API Key","API sleutel"
"Get API credentials","Verkrijg API gegevens"
"General Subscription","Algemeen lidmaatschap"
"Your MailChimp API Key.<br/><a target ='_blank' href ='http://kb.mailchimp.com/article/where-can-i-find-my-api-key/'>Where can I find my API Key?</a>","Je MailChimp API sleutel.<br/><a target ='_blank' href ='http://kb.mailchimp.com/article/where-can-i-find-my-api-key/'>Waar kan ik mijn API sleutel vinden?</a>"
"Trial mode: Whether the Account is in Trial mode (can only send campaigns to less than 100 emails).<br/><a target='_blank' href='http://mailchimp.com/pricing/'>More about MailChimp plans.</a>", "Test mode: Of het account in test modus is (alleen mogelijk om campagnes te versturen naar minder dan 100 email adressen).<br/><a target='_blank' href='http://mailchimp.com/pricing/'>Meer over MailChimp abbonementen.</a>"
"Synchronize Magento's General Subscription List with this MailChimp list","Synchroniseer Magento's algemene lidmaatschap lijst met deze MailChimp lijst"
"All selected lists will be available to customers as additionals lists","Alle geselecteerde lijsten zullen beschikbaar zijn voor klanten als additionele lijsten"
"Additional Lists","Additionele lijsten"
"Double opt-in","Dubbele opt-in"
"<b>IMPORTANT</b>: Should be set to <b>Yes</b>. Abusing this may cause your account to be suspended.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-does-confirmed-optin-or-double-optin-work/'>How does double opt-in work?</a>","<b>BELANGRIJK</b>: Stel in op <b>Ja</b>. Misbruik kan ervoor zorgen dat je account uitgeschakeld wordt.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-does-confirmed-optin-or-double-optin-work/'>Hoe werkt dubbele opt-in?</a>"
"Enable Ecommerce360 for", "Ecommerce360 inschakelen voor"
"Send new orders to MailChimp using Ecommerce360.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-do-i-turn-on-ecommerce360-tracking-on-my-campaigns/'>How do I turn on Ecommerce360 tracking on my campaigns?</a>", "Stuur nieuwe bestellingen naar MailChimp via Ecommerce360.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-do-i-turn-on-ecommerce360-tracking-on-my-campaigns/'>Hoe schakel ik Ecommerce360 in voor mijn campagnes?</a>"
"Customer Fields Mapping", "Veldmapping voor klant"
"<a target=\"_blank\" href=\"http://kb.mailchimp.com/article/all-the-merge-tags-cheatsheet\">All The Merge Tags (Cheatsheet)</a>","<a target=\"_blank\" href=\"http://kb.mailchimp.com/article/all-the-merge-tags-cheatsheet\">Alle merge tags (cheatsheet)</a>"
"First Name for Guests subscribers", "Voornaam voor gast inschrijvingen"
"This value will be sent as FNAME to MailChimp", "Deze waarde zal verstuurd worden als FNAME naar MailChimp"
"Last Name for Guests subscribers", "Achternaam voor gast inschrijvingen"
"This value will be sent as LNAME to MailChimp", "Deze waarde zal verstuurd worden als LNAME naar MailChimp"

;Notification messages
"MailChimp Cleaned Emails: %s %s at %s reason: %s","MailChimp opgeschoonde emails: %s %s op %s reden: %s"
"MailChimp Campaign Send: %s %s at %s","MailChimp verstuurde campagne: %s %s op %s"
"Confirmation request has been sent.","Bevestigings aanvraag is verstuurd."

;Additional translations
"members", "leden"
"Customer", "Klant"
"MailChimp", "MailChimp"
"Add field", "Veld toevoegen"
"Username:", "Gebruikersnaam:"
"Plan type:", "Lidmaatschap type:"
"Is in trial mode?:", "Is in test mode?:"
"Enabled - Checked by default", "Ingeschakeld - Standaard aangevinkt"
"Enabled - Not Checked by default", "Ingeschakeld - Niet standaard aangevinkt"
